,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
715,GSM4277538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
716,GSM4277539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
717,GSM4277540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
718,GSM4277541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
719,GSM4277542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
720,GSM4277543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
721,GSM4378947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE146364,HAP1,Leukemia,RNAse I
722,GSM4378948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE146364,HAP1,Leukemia,RNAse I
723,GSM4378949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE146364,HAP1,Leukemia,RNAse I
724,GSM4378950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE146364,HAP1,Leukemia,RNAse I
725,GSM4378951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE146364,HAP1,Leukemia,RNAse I
730,GSM4425998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
731,GSM4425999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
732,GSM4426000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
733,GSM4426001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
734,GSM4426002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
735,GSM4426003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
